2026-08-10 23:30:19,639 | root || INFO | 分页查询用户，第1页，每页200条
2026-08-10 23:30:19,908 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-10 23:30:20,151 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-10 23:30:20,158 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-10 23:30:21,198 | root || INFO | 分页查询用户，第1页，每页200条
2026-08-10 23:30:21,411 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-10 23:30:21,654 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-10 23:30:21,660 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-10 23:30:31,207 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-10 23:30:31,748 | root || INFO | 分页查询用户，第1页，每页200条
2026-08-10 23:30:31,965 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-10 23:30:32,207 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-10 23:30:32,222 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-10 23:30:36,328 | root || INFO | 分页查询用户，第1页，每页10条
2026-08-10 23:30:36,558 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-10 23:30:36,794 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-10 23:30:36,803 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 10:34:10,587 | root || INFO | 分页查询用户，第1页，每页200条
2026-08-11 10:34:10,923 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 10:34:11,194 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 10:34:11,206 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 10:34:18,903 | root || INFO | 分页查询用户，第1页，每页200条
2026-08-11 10:34:19,085 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 10:34:19,330 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 10:34:19,336 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 10:53:47,493 | root || INFO | 查询全部班级信息
2026-08-11 10:53:47,597 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 10:53:47,602 | root || INFO | 全部班级查询结果：4条
2026-08-11 10:54:09,217 | root || INFO | 查询编号为1的班级信息
2026-08-11 10:54:09,369 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 10:54:32,088 | root || INFO | 查询编号为1的班级信息
2026-08-11 10:54:32,194 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:22:28,870 | root || INFO | 分页查询用户，第1页，每页200条
2026-08-11 11:22:29,150 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:22:29,438 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:22:29,444 | root || INFO | 分页查询：第1/1页，6条，共6条
2026-08-11 11:27:03,691 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:27:03,707 | root || INFO | 班级 sid=1 选老师 head_teacher_id=2
