2026-08-11 11:43:15,566 | root || INFO | 分页查询用户，第1页，每页5条
2026-08-11 11:43:15,666 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:15,755 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:15,760 | root || INFO | 分页查询：第1/2页，5条，共6条
2026-08-11 11:43:15,784 | root || INFO | 分页查询用户，第1页，每页5条
2026-08-11 11:43:15,866 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:15,958 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:15,961 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 11:43:15,987 | root || INFO | 分页查询班级，第1页，每页5条
2026-08-11 11:43:16,062 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:16,162 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:16,165 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 11:43:16,167 | root || INFO | 分页查询用户，第1页，每页5条
2026-08-11 11:43:16,256 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:16,340 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:16,342 | root || INFO | 分页查询：第1/1页，4条，共4条
2026-08-11 11:43:16,423 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:16,526 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:16,531 | root || INFO | 查询全部学生列表
2026-08-11 11:43:16,612 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:16,615 | root || INFO | 全部学生查询结果：6条
2026-08-11 11:43:38,090 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:38,186 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:38,302 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:38,412 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:43:38,507 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:00,666 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:00,750 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:00,866 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:00,938 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:18,187 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:18,279 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:18,369 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:18,451 | root || INFO | mysql数据库连接成功 host=localhost
2026-08-11 11:44:18,461 | root || INFO | 新增学生，插入7条
